"Category","Overheads"
"Salary Expense",14.69
"Interest Expense ",0.45
"Marketing Expense",6.09
"Rental Expense",4.22
"Overflow Expense - Retail",0.19
"Overflow Expense - Warehouse",0.17
"Penalty Expense",5.85
"Depreciation Expense",9.3
"Maintenance Expense",3.93
"Shipping Expense",49.29
"Human Resource Expense",5.82
